Name,Pts,Army,Race,Type,Unit,NumUnits,Class,Person,Size,Height,Life,MVE,RGE,ATK,DEF,SP1,SP2,SP3
10th Regiment of Foot,75,Einar,Human,0,Squad,4,Soldier,Disciplined,Medium,5,1,5,6,2,2,"Wait Then Fire: If none of the 10th Regiment of Foot move this turn, add 1 die to their attack.","Melee Defense 1: When rollling defense dice against a normal attack from an adjacent figure, a Soldier in the 10th Regiment of Foot adds 1 to his defense dice.","Bayonet Attack 1: When rolling attack dice against an adjacent figure, a Soldier in the 10th Regiment of Foot adds 1 to his attack dice. A Soldier in the 10th Regiment of Foot can only use Bayonet Attack if he moved at least one space this turn."
4th Massachusetts Line,70,Jandar,Human,0,Squad,4,Soldier,Valiant,Medium,5,1,5,6,2,2,"WAIT THEN FIRE - If none of the 4th Massachusetts Line move this turn, add 1 die to their attack.","VALIANT ARMY DEFENSE BONUS - If every Army Card you control has a Valiant Personality, each soldier in the 4th Massachusetts Line receives 1 additional defense die.",
Acolarh,110,Ullar,Elf,2,Hero,1,Wizard,Valiant,Medium,5,5,5,1,3,2,"Leaf of the Home Tree Aura: When any Elf you control within 8 clear sight spaces of Acolarh recieves enough wounds to be destroyed, you may roll 10 Ullar Valkyrie dice before removing the figure. If you roll at least 3 Ullar symbols, ignore any wounds that figure just recieved. Acolarh's Leaf of the Home Tree Aura does not affect Acolarh.
",Ullar's Amulet: All friendly figures who follow Ullar and start their turn adjacent to Acolarh may move 2 additional spaces.,
Agent Carr,100,Vydar,Human,2,Hero,1,Agent,Tricky,Medium,5,4,5,6,2,4,GHOST WALK - Agent Carr can move through all figures.  ,"SWORD OF RECKONING 4 - If Agent Carr is attacking an adjacent figure, add 4 dice to Agent Carr's attack. ", DISENGAGE - Agent Carr is never attacked when leaving an engagement.
Agent Skahen,120,Vydar,Human,2,Hero,1,Agent,Tricky,Medium,4,3,6,7,3,3,"Double Attack: When Agent Skahen attacks, she may attack one additional time.
Cover Fire: When attacking an opponent's figure, if Agent Skahen inflicts one or more wounds, you may move one Tricky figure you control who follows Vydar and is within 8 clear sight spaces of Agent Skahen up to 4 spaces. You cannot use Cover Fire to move Agent Skahen.","Stealth Dodge: When Agent Skahen rolls defense dice against an attacking figure who is not adjacent, one shield will block all damage.",
Air Elemental,30,Jandar,Elemental,0,Hero,1,Construct,Relentless,Medium,4,1,5,1,3,3,"Swirling Vortex: When an opponent's small or medium figure moves onto a space within 2 clear sight spaces of an Air Elemental you control, that figure must end its move there. Figures can never move through any figure affected by Swirling Vortex.",Air Mastery: Figures that have the Flying or Stealth Flying special power subtract 1 from their defense dice when attacked by an Air Elemental.," Stealth Flying: When counting spaces for an Air Elemental's movement, ignore elevations. An Air Elemental may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. If an Air Elemental is engaged when it starts to fly, it will not take any leaving engagement attacks."
Airborne Elite,110,Jandar,Human,2,Squad,4,Soldier,Disciplined,Medium,5,1,4,8,3,2,GRENADE SPECIAL ATTACK - Range 5. Lob 12. Attack 2.  Use this power once per game.  Start the game with a grenade marker on this card.  Remove the grenade marker to throw grenades.  One at a time do the following with each Airborne Elite.  Choose a figure to attack.  No clear line of sight is needed.  Any figures adjacent to the chosen figure are also affected by the Grenade Special Attack.  Roll 2 attack dice once for all affected figures.  Each figure rolls defense dice separately.  ,"THE DROP - Airborne Elite do not start the game on the battle field.  At the start of each round, before you place Order Markers, roll the 20-sided die.  If you roll a 13 or higher you may place all 4 Airborne Elite figures on any empty spaces.  You cannot place them adjacent to each other or other figures, or on glyphs.",
Alastair MacDirk,110,Jandar,Human,2,Hero,1,Champion,Valiant,Medium,5,6,5,1,5,3,"OVEREXTEND ATTACK - After taking a turn with Alastair MacDirk, you may place a wound marker on Alastair MacDirk and take another turn with him.  You may only use this power once during a round.",,
Ana Karithon,100,Einar,Human,2,Hero,1,Cleric,Merciful,Medium,5,5,5,4,2,3,Turn Undead Special Attack: Range 4. Attack 4. Turn Undead Special Attack can be used to attack only Undead figures.,Protection from Evil Aura: All small or medium figures you control within 3 clear sight spaces of Ana Karithon add 1 to their defense dice when rolling defense against an attack from a figure who follows Utgar. Ana Karithon's Protection from Evil Aura does not affect Ana Karithon.,"Healing Word: After revealing an Order Marker on a wounded small or medium Hero figure you control that is adjacent to Ana Karithon, and before using any other special powers on any Army Card of Glyph, you may first roll the 20-sided die. If you roll a 1-12, nothing happens. If you roll a 13 or higher, remove up to 2 wound markers from that Hero's Army Card."
Anubian Wolves,75,Utgar,Wolf,0,Squad,3,Devourer,Relentless,Medium,5,1,6,1,1,4,"UNLEASHED FURY - Before moving, roll the 20-sided die.  If you roll a 1, choose an Anubian Wolf you control and destroy it.  If you roll a 2-6, add 1 to the attack value of this card.  If you roll a 7-11, add 2 to the attack value of this card.  If you roll12-15, add 3 to the attack value of this card.  If you roll a 16-19, add 4 to the attack value of this card.  If you roll a 20, add 8 to the attack value of this card.",,
